%Flight Orig Dest DepTime ArrTime PrevFlight
1 IST CPH 10:00 14:07 0
2 CDG IST 14:10 16:54 0
3 BCN BRU 18:22 20:29 0
4 BRU ORY 21:27 00:19+1 0
5 TXL BCN 10:45 13:53 0
6 IST TXL 14:26 16:23 0
7 CDG TXL 18:23 20:16 0
8 MUC AMS 22:08 23:51 0
9 CDG MUC 11:00 15:26 0
10 LHR IST 15:43 17:09 0
11 FRA ZRH 17:12 21:55 0
12 FRA VIE 11:45 14:56 0
13 ORY VIE 16:18 19:11 0
14 AMS FRA 21:37 01:18+1 0
15 MAD AMS 6:30 10:55 0
16 AMS MAD 11:04 14:22 0
17 FRA DUB 17:20 19:31 0
18 CPH AMS 21:43 00:27+1 0
19 DUB BCN 12:15 15:45 0
20 MUC AMS 17:29 20:01 0
21 IST CDG 21:04 01:02+1 0
22 LHR VIE 8:45 12:16 0
23 MUC AMS 12:17 14:44 0
#
