%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH CDG 10:45 13:45 0
2 FRA IST 16:06 17:42 0
3 ZRH FRA 19:36 22:18 0
4 LHR MAD 11:30 15:37 0
5 MUC FRA 17:07 21:49 0
6 BCN BRU 08:45 12:01 0
7 AMS LHR 13:17 15:09 0
8 ORY VIE 17:07 20:23 0
9 MAD DUB 22:52 00:16+1 0
10 CPH BRU 12:45 17:00 0
11 VIE CPH 19:31 23:28 0
12 MUC VIE 12:30 14:01 0
13 MUC FRA 15:21 18:01 0
14 FRA VIE 20:23 23:55 0
15 FRA VIE 12:30 16:31 0
16 TXL IST 19:11 21:41 0
17 CPH ORY 07:00 10:45 0
18 AMS CPH 12:54 14:22 0
19 ZRH BCN 16:45 19:28 0
20 BRU BCN 21:54 22:59 0
#
