%Flight DepDate Aircraft
1 15/09/24 A320#1
2 15/09/24 A320#1
3 15/09/24 A320#1
4 15/09/24 A320#1
5 15/09/24 A320#2
6 15/09/24 A320#2
7 15/09/24 A320#3
8 15/09/24 A320#3
9 15/09/24 A320#3
10 15/09/24 A320#3
11 15/09/24 A320#4
12 15/09/24 A320#4
13 15/09/24 A320#4
14 15/09/24 A320#4
15 15/09/24 B737#1
16 15/09/24 B737#1
17 15/09/24 B737#1
18 15/09/24 B737#1
19 15/09/24 B737#1
20 15/09/24 B737#2
21 15/09/24 B737#2
22 15/09/24 B737#2
23 15/09/24 B737#2
24 15/09/24 B737#3
25 15/09/24 B737#3
26 15/09/24 B737#3
27 15/09/24 B737#3
28 15/09/24 B737#4
29 15/09/24 B737#4
30 15/09/24 B737#4
31 15/09/24 B737#4
#
