%Flight Orig Dest DepTime ArrTime PrevFlight
1 CDG AMS 07:15 10:32 0
2 CDG IST 11:17 15:02 0
3 MUC LHR 16:00 20:12 0
4 MAD IST 07:00 09:47 0
5 CDG BCN 09:51 12:46 0
6 MUC CDG 13:13 16:48 0
7 CDG BCN 17:13 20:58 0
8 CPH IST 08:15 10:43 0
9 LHR BCN 10:45 13:43 0
10 IST CPH 14:23 16:52 0
11 MAD CPH 17:07 20:37 0
12 FRA BRU 07:15 10:14 0
13 BCN DUB 10:16 13:26 0
14 VIE IST 14:07 16:34 0
15 BCN MAD 17:30 21:43 0
16 VIE ZRH 08:00 10:59 0
17 ORY BCN 11:41 16:03 0
18 BRU DUB 16:30 21:25 0
19 FRA ORY 08:30 11:46 0
20 BRU ORY 11:48 16:02 0
21 TXL FRA 16:28 20:32 0
22 FRA MAD 08:45 11:14 0
23 TXL FRA 11:36 15:21 0
24 LHR BRU 15:44 20:27 0
25 LHR AMS 07:30 11:04 0
26 BCN FRA 11:50 15:28 0
27 VIE ZRH 15:35 18:52 0
28 FRA ORY 19:40 22:39 0
29 CPH VIE 07:00 10:56 0
30 MUC BCN 11:53 14:05 0
31 VIE CPH 14:36 17:08 0
32 MUC VIE 17:34 21:32 0
33 MUC TXL 08:00 10:26 0
34 ZRH VIE 11:05 14:43 0
35 FRA ZRH 15:40 19:38 0
36 FRA TXL 19:55 21:57 0
37 DUB CDG 08:45 12:50 0
38 ORY LHR 13:34 17:32 0
39 CPH TXL 17:56 20:56 0
43 LHR BCN 08:00 11:21 0
44 LHR BCN 12:14 14:49 0
45 CPH CDG 15:02 17:19 0
46 MUC LHR 17:37 20:31 0
47 DUB AMS 08:00 12:29 0
48 BRU CDG 12:31 17:03 0
49 TXL MAD 17:30 21:47 0
50 CDG BCN 08:30 13:21 0
51 TXL LHR 13:38 16:51 0
52 CPH ORY 17:21 19:59 0
53 MAD MUC 07:00 09:36 0
54 CDG ORY 09:58 12:26 0
55 IST MUC 12:33 15:05 0
56 BCN ZRH 15:19 19:37 0
57 DUB CDG 07:45 12:33 0
58 FRA ORY 12:55 17:12 0
59 TXL BCN 17:40 19:55 0
60 CPH BCN 07:30 10:14 0
61 ORY LHR 10:46 13:13 0
62 BCN MAD 14:10 16:14 0
63 AMS DUB 17:04 19:19 0
64 LHR TXL 08:15 10:57 0
65 LHR CPH 11:30 15:09 0
66 CDG MUC 15:41 18:17 0
67 MUC AMS 18:41 21:38 0
68 IST ORY 07:15 10:01 0
69 CDG ZRH 10:31 15:13 0
70 TXL BCN 16:00 18:12 0
#
