%Flight DepDate Aircraft
1 16/09/24 B737#1
2 16/09/24 B737#1
3 16/09/24 B737#1
4 16/09/24 B737#2
5 16/09/24 B737#2
6 16/09/24 B737#2
7 16/09/24 B737#2
8 16/09/24 B737#3
9 16/09/24 B737#3
10 16/09/24 B737#3
11 16/09/24 B737#3
12 16/09/24 B737#4
13 16/09/24 B737#4
14 16/09/24 B737#4
15 16/09/24 B737#4
16 16/09/24 B737#5
17 16/09/24 B737#5
18 16/09/24 B737#5
19 16/09/24 B737#6
20 16/09/24 B737#6
21 16/09/24 B737#6
22 16/09/24 B737#7
23 16/09/24 B737#7
24 16/09/24 B737#7
25 16/09/24 B737#8
26 16/09/24 B737#8
27 16/09/24 B737#8
28 16/09/24 B737#8
29 16/09/24 B737#9
30 16/09/24 B737#9
31 16/09/24 B737#9
32 16/09/24 B737#9
33 16/09/24 B737#10
34 16/09/24 B737#10
35 16/09/24 B737#12
36 16/09/24 B737#10
37 16/09/24 B737#11
38 16/09/24 B737#11
39 16/09/24 B737#11
43 16/09/24 B737#13
44 16/09/24 B737#13
45 16/09/24 B737#13
46 16/09/24 B737#13
47 16/09/24 B737#14
48 16/09/24 B737#14
49 16/09/24 B737#14
50 16/09/24 B737#15
51 16/09/24 B737#15
52 16/09/24 B737#15
53 16/09/24 B737#16
54 16/09/24 B737#16
55 16/09/24 B737#16
56 16/09/24 B737#16
57 16/09/24 B737#17
58 16/09/24 B737#17
59 16/09/24 B737#17
60 16/09/24 B737#18
61 16/09/24 B737#18
62 16/09/24 B737#18
63 16/09/24 B737#18
64 16/09/24 B737#19
65 16/09/24 B737#19
66 16/09/24 B737#19
67 16/09/24 B737#19
68 16/09/24 B737#20
69 16/09/24 B737#20
70 16/09/24 B737#20
#
