%Aircraft Model Family Config Dist Cost/h TurnRound Transit Orig Maint
A320#1 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#10 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#11 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#12 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#13 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#14 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#15 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#16 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#17 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#18 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#19 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#2 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#20 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#3 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#4 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#5 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#6 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#7 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#8 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
A320#9 A320 Airbus 0/0/123 5000 1800.0 30 30 CFE NULL
#
