%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB LHR 07:45 10:22 0
2 DUB ZRH 10:23 15:06 0
3 ZRH MUC 15:34 18:56 0
4 ORY LHR 08:00 12:53 0
5 DUB VIE 13:44 17:07 0
6 LHR IST 17:44 20:21 0
7 AMS CPH 07:00 09:16 0
8 MUC CDG 09:27 11:29 0
9 ORY MAD 12:20 16:23 0
10 ZRH ORY 17:16 20:35 0
11 ORY ZRH 07:00 11:14 0
12 BCN TXL 11:14 13:17 0
13 ZRH IST 13:22 16:31 0
14 VIE ORY 16:33 18:52 0
15 TXL MUC 08:00 10:07 0
16 FRA ZRH 10:35 12:49 0
17 BCN DUB 13:39 17:09 0
18 FRA VIE 17:26 20:02 0
19 AMS CPH 08:30 12:46 0
20 AMS TXL 13:03 17:33 0
21 IST AMS 17:43 21:07 0
22 DUB MUC 07:15 09:55 0
23 LHR IST 10:23 14:23 0
24 MUC BRU 15:09 18:29 0
25 CPH MAD 07:45 10:39 0
26 MUC BRU 11:21 15:16 0
27 ORY AMS 15:16 20:15 0
28 BCN VIE 08:00 11:21 0
29 DUB CDG 12:15 14:31 0
30 BCN BRU 14:47 17:11 0
31 BCN AMS 07:15 11:44 0
32 AMS ZRH 12:41 17:14 0
33 FRA AMS 07:30 10:33 0
34 VIE ORY 10:56 14:51 0
35 ORY MUC 15:41 17:45 0
36 IST AMS 18:30 21:19 0
37 MUC BRU 08:45 13:20 0
38 MAD MUC 13:45 17:04 0
39 MUC IST 17:06 19:29 0
40 MAD CDG 08:00 12:59 0
41 MUC ZRH 13:14 18:06 0
42 DUB AMS 07:45 12:12 0
43 MUC CPH 12:39 16:52 0
44 BCN MUC 17:21 20:38 0
45 IST BCN 08:00 12:29 0
46 CDG ORY 13:10 17:17 0
47 IST TXL 17:47 20:38 0
51 MAD CPH 08:45 11:39 0
52 CPH MAD 12:22 15:01 0
53 ZRH DUB 15:13 18:50 0
54 AMS BCN 07:30 11:45 0
55 CPH LHR 12:33 15:09 0
56 AMS IST 15:21 19:52 0
57 AMS DUB 08:30 10:55 0
58 ZRH BCN 11:42 14:38 0
59 DUB BRU 15:33 18:36 0
60 CDG ORY 07:45 12:37 0
61 ZRH FRA 13:03 15:57 0
62 MAD TXL 16:09 20:04 0
#
