%Flight DepDate Aircraft
1 29/09/24 A320#1
2 29/09/24 A320#1
3 29/09/24 A320#1
4 29/09/24 A320#2
5 29/09/24 A320#2
6 29/09/24 A320#2
7 29/09/24 A320#3
8 29/09/24 A320#3
9 29/09/24 A320#3
10 29/09/24 A320#3
11 29/09/24 A320#4
12 29/09/24 A320#4
13 29/09/24 A320#4
14 29/09/24 A320#4
15 29/09/24 A320#5
16 29/09/24 A320#5
17 29/09/24 A320#5
18 29/09/24 A320#5
19 29/09/24 A320#6
20 29/09/24 A320#6
21 29/09/24 A320#6
22 29/09/24 A320#7
23 29/09/24 A320#7
24 29/09/24 A320#7
25 29/09/24 A320#8
26 29/09/24 A320#8
27 29/09/24 A320#8
28 29/09/24 A320#9
29 29/09/24 A320#9
30 29/09/24 A320#16
31 29/09/24 A320#10
32 29/09/24 A320#10
33 29/09/24 A320#11
34 29/09/24 A320#11
35 29/09/24 A320#11
36 29/09/24 A320#11
37 29/09/24 A320#12
38 29/09/24 A320#12
39 29/09/24 A320#12
40 29/09/24 A320#13
41 29/09/24 A320#13
42 29/09/24 A320#14
43 29/09/24 A320#14
44 29/09/24 A320#14
45 29/09/24 A320#15
46 29/09/24 A320#15
47 29/09/24 A320#15
51 29/09/24 A320#17
52 29/09/24 A320#17
53 29/09/24 A320#17
54 29/09/24 A320#18
55 29/09/24 A320#18
56 29/09/24 A320#18
57 29/09/24 A320#19
58 29/09/24 A320#19
59 29/09/24 A320#19
60 29/09/24 A320#20
61 29/09/24 A320#20
62 29/09/24 A320#20
#
