%Flight Orig Dest DepTime ArrTime PrevFlight
1 MUC BCN 10:15 11:30 0
2 VIE BRU 13:46 14:53 0
3 BCN TXL 16:42 17:55 0
4 MAD IST 19:10 20:31 0
5 LHR TXL 20:50 22:37 0
6 IST ZRH 08:30 11:44 0
7 IST FRA 13:07 18:05 0
8 CDG DUB 19:09 20:41 0
9 BCN CPH 21:26 00:46+1 0
10 DUB CDG 08:00 09:56 0
11 FRA CDG 10:13 14:43 0
12 VIE AMS 16:11 19:42 0
13 IST AMS 22:39 02:52+1 0
14 DUB MAD 07:15 09:27 0
15 BCN MAD 10:30 14:03 0
16 DUB LHR 14:48 18:41 0
17 FRA CDG 18:59 20:02 0
18 IST FRA 20:51 21:54 0
22 CDG TXL 06:30 08:15 0
#
