model_name,sequence_type,actions,reward
../trained_models/dqn_3000d_10u-15.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([9]), array([0]), array([0]), array([9]), array([3]), array([1]), array([3])]",-29780.0
../trained_models/dqn_3000d_10u-15.zip,best action sequence,"[array([6]), array([7]), array([7]), array([10]), array([8])]",4000.0
../trained_models/dqn_25000d_10u-1.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0])]",-40070.0
../trained_models/dqn_25000d_10u-1.zip,best action sequence,"[array([6]), array([10]), array([7]), array([10]), array([10])]",4000.0
../trained_models/dqn_2500d_10u-1.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([1]), array([8]), array([9])]",-18484.0
../trained_models/dqn_2500d_10u-1.zip,best action sequence,"[array([10]), array([10]), array([10]), array([7]), array([4])]",4000.0
../trained_models/dqn_2500d_10u-2.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([9]), array([0]), array([0]), array([10]), array([0])]",-18151.0
../trained_models/dqn_2500d_10u-2.zip,best action sequence,"[array([5]), array([10]), array([10]), array([1]), array([10])]",4000.0
../trained_models/dqn_2500d_10u-3.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([5]), array([0]), array([0]), array([0]), array([0]), array([0]), array([0]), array([9]), array([8])]",-18087.0
../trained_models/dqn_2500d_10u-3.zip,best action sequence,"[array([10]), array([10]), array([10]), array([10]), array([10])]",4000.0
