%Flight DepDate Aircraft
1 26/09/24 A320#1
2 26/09/24 A320#1
3 26/09/24 A320#1
4 26/09/24 A320#1
5 26/09/24 B737#1
6 26/09/24 B737#1
7 26/09/24 B737#1
8 26/09/24 B737#1
9 26/09/24 A320#2
10 26/09/24 A320#2
11 26/09/24 A320#2
12 26/09/24 A320#2
13 26/09/24 A320#2
14 26/09/24 B737#2
15 26/09/24 B737#2
16 26/09/24 B737#2
17 26/09/24 B737#2
18 26/09/24 B737#2
20 26/09/24 A320#3
21 26/09/24 A320#3
22 26/09/24 A320#3
23 26/09/24 A320#3
24 26/09/24 A320#4
25 26/09/24 A320#4
26 26/09/24 A320#4
27 26/09/24 A320#4
28 26/09/24 B737#4
29 26/09/24 B737#4
30 26/09/24 B737#4
32 26/09/24 A320#5
33 26/09/24 A320#5
34 26/09/24 A320#5
35 26/09/24 A320#5
36 26/09/24 A320#6
37 26/09/24 A320#6
38 26/09/24 A320#6
39 26/09/24 A320#6
#
