%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL AMS 09:45 11:01 0
2 FRA LHR 13:18 17:48 0
3 VIE BRU 19:56 00:50+1 0
4 DUB BCN 11:00 14:16 0
5 ORY MUC 16:29 19:42 0
7 TXL AMS 07:00 08:59 0
8 MUC VIE 11:57 13:50 0
9 TXL ZRH 15:44 17:52 0
10 MUC LHR 18:05 19:59 0
11 TXL ZRH 08:45 12:25 0
12 MAD CPH 13:16 17:59 0
13 MAD ORY 18:00 21:09 0
14 CDG TXL 11:15 15:58 0
15 BRU DUB 17:58 21:15 0
19 IST FRA 08:45 12:45 0
20 ZRH FRA 15:26 19:01 0
21 VIE FRA 19:29 22:12 0
22 TXL MAD 10:30 14:45 0
23 LHR DUB 15:21 18:34 0
24 IST CPH 18:59 23:36 0
25 IST TXL 12:15 14:41 0
26 DUB MAD 17:09 19:28 0
#
