%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL ZRH 09:30 11:20 0
2 IST CDG 11:46 16:44 0
3 IST AMS 17:38 22:00 0
4 ZRH VIE 23:21 01:40+1 0
5 BRU ORY 07:30 09:32 0
6 LHR AMS 11:00 15:18 0
7 DUB FRA 15:51 17:49 0
8 BCN AMS 18:33 23:06 0
9 BCN IST 08:15 12:08 0
10 BRU AMS 12:27 15:48 0
11 DUB BCN 16:00 20:09 0
12 MAD CDG 20:26 01:06+1 0
18 AMS FRA 10:00 11:32 0
19 MUC CDG 12:19 13:46 0
20 IST AMS 14:41 16:01 0
21 VIE CPH 17:04 21:16 0
23 ZRH MAD 08:00 10:51 0
24 IST MAD 13:34 15:59 0
25 BCN CDG 18:55 23:12 0
26 AMS MUC 11:30 15:53 0
27 ZRH ORY 18:08 19:59 0
28 BRU LHR 20:22 23:53 0
29 FRA ORY 11:45 14:34 0
30 DUB FRA 14:36 16:29 0
#
