%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL BCN 10:30 11:48 0
2 VIE MAD 14:09 16:02 0
3 BRU IST 17:23 20:01 0
4 LHR TXL 21:30 23:35 0
5 IST AMS 07:00 11:47 0
6 CPH AMS 14:09 17:39 0
7 TXL VIE 19:07 20:25 0
9 VIE FRA 12:15 16:33 0
10 DUB MAD 17:32 20:11 0
11 ZRH MAD 21:47 02:23+1 0
12 CDG IST 10:15 12:23 0
13 MAD BCN 12:23 15:45 0
14 TXL ZRH 18:02 21:27 0
15 TXL ORY 06:30 10:39 0
16 BRU CPH 13:26 15:31 0
17 AMS BRU 16:27 18:50 0
18 LHR MAD 21:42 00:08+1 0
19 AMS BCN 08:45 12:47 0
20 CDG MUC 14:24 16:35 0
21 ZRH VIE 18:07 22:35 0
22 BRU LHR 10:30 12:04 0
23 DUB BRU 15:02 17:49 0
24 BRU MAD 20:38 01:34+1 0
25 MAD BCN 09:15 12:40 0
26 BRU BCN 14:41 15:58 0
27 IST BCN 16:30 18:24 0
28 MAD MUC 20:46 23:30 0
29 DUB MUC 08:30 12:05 0
30 DUB ZRH 16:45 19:29 0
31 CDG CPH 19:34 23:59 0
32 CDG CPH 07:45 08:45 0
33 IST TXL 10:50 13:19 0
34 TXL ZRH 15:31 18:41 0
#
