%Flight DepDate Aircraft
1 15/09/24 A320#1
2 15/09/24 A320#1
3 15/09/24 A320#1
4 15/09/24 A320#1
5 15/09/24 A320#2
6 15/09/24 A320#2
7 15/09/24 A320#2
9 15/09/24 A320#3
10 15/09/24 A320#3
11 15/09/24 A320#3
12 15/09/24 A320#4
13 15/09/24 A320#4
14 15/09/24 A320#4
15 15/09/24 A320#5
16 15/09/24 A320#5
17 15/09/24 A320#5
18 15/09/24 A320#5
19 15/09/24 A320#6
20 15/09/24 A320#6
21 15/09/24 A320#6
22 15/09/24 A320#7
23 15/09/24 A320#7
24 15/09/24 A320#7
25 15/09/24 A320#8
26 15/09/24 A320#8
27 15/09/24 A320#8
28 15/09/24 A320#8
29 15/09/24 B737#1
30 15/09/24 B737#1
31 15/09/24 B737#1
32 15/09/24 A320#9
33 15/09/24 A320#9
34 15/09/24 A320#9
#
