%Flight Orig Dest DepTime ArrTime PrevFlight
1 CPH CDG 10:45 15:41 0
2 DUB FRA 16:55 20:29 0
3 FRA ZRH 08:15 09:57 0
4 IST CPH 11:10 13:14 0
5 VIE FRA 14:19 16:57 0
6 BCN CDG 19:55 20:59 0
8 CDG LHR 07:45 09:58 0
9 ZRH FRA 10:54 12:39 0
10 MAD CDG 15:09 18:09 0
11 CDG MAD 19:20 23:12 0
12 FRA DUB 09:15 12:15 0
13 BCN IST 13:22 17:53 0
14 ZRH MAD 17:59 22:04 0
15 LHR ORY 11:15 14:15 0
16 CDG DUB 15:15 19:07 0
17 VIE IST 21:35 00:00+1 0
18 ZRH AMS 08:45 10:08 0
19 CPH DUB 12:18 14:04 0
20 AMS MUC 14:26 15:45 0
21 IST AMS 17:52 20:06 0
22 CDG AMS 10:30 12:20 0
23 DUB BCN 15:12 16:32 0
24 VIE FRA 18:02 19:56 0
25 TXL MUC 20:57 22:49 0
#
