%Flight DepDate Aircraft
1 01/09/24 A320#1
2 01/09/24 A320#1
3 01/09/24 A320#1
4 01/09/24 A320#1
5 01/09/24 A320#2
6 01/09/24 A320#2
7 01/09/24 A320#2
8 01/09/24 A320#3
9 01/09/24 A320#3
10 01/09/24 A320#3
11 01/09/24 A320#4
12 01/09/24 A320#4
13 01/09/24 A320#4
14 01/09/24 A320#4
15 01/09/24 A320#4
16 01/09/24 B737#1
17 01/09/24 B737#1
18 01/09/24 B737#1
19 01/09/24 B737#1
20 01/09/24 B737#2
21 01/09/24 B737#2
22 01/09/24 B737#2
23 01/09/24 B737#2
24 01/09/24 A320#5
25 01/09/24 A320#5
26 01/09/24 A320#5
27 01/09/24 A320#5
#
