%Flight Orig Dest DepTime ArrTime PrevFlight
1 BCN BRU 07:30 11:36 0
2 ORY IST 12:02 13:50 0
3 CDG MUC 14:10 17:16 0
4 LHR VIE 18:35 20:53 0
5 FRA TXL 22:26 02:11+1 0
6 VIE FRA 08:15 11:39 0
7 MUC ZRH 13:17 17:16 0
8 CPH ORY 20:05 00:52+1 0
9 BRU MUC 12:15 16:44 0
10 VIE ORY 18:11 22:03 0
11 MUC ORY 22:18 23:19 0
12 MAD ZRH 07:45 10:16 0
13 BRU AMS 12:08 13:48 0
14 BCN VIE 15:28 19:24 0
15 LHR IST 20:06 00:56+1 0
16 DUB AMS 08:30 12:29 0
17 BCN ORY 14:14 17:16 0
18 AMS BRU 18:43 21:08 0
19 DUB MUC 22:57 03:53+1 0
20 AMS ORY 12:45 14:14 0
21 DUB AMS 14:53 15:58 0
22 IST AMS 17:54 22:30 0
23 MUC DUB 22:41 01:15+1 0
24 CDG TXL 09:45 14:13 0
25 CPH ORY 15:12 19:30 0
26 ZRH TXL 21:24 00:22+1 0
#
