%Flight DepDate Aircraft
1 20/09/24 B737#1
2 20/09/24 B737#1
3 20/09/24 B737#1
4 20/09/24 B737#1
5 20/09/24 B737#1
6 20/09/24 B737#2
7 20/09/24 B737#2
8 20/09/24 B737#2
9 20/09/24 A320#1
10 20/09/24 A320#1
11 20/09/24 A320#1
12 20/09/24 B737#3
13 20/09/24 B737#3
14 20/09/24 B737#3
15 20/09/24 B737#3
16 20/09/24 A320#2
17 20/09/24 A320#2
18 20/09/24 A320#2
19 20/09/24 A320#2
20 20/09/24 A320#3
21 20/09/24 A320#3
22 20/09/24 A320#3
23 20/09/24 A320#3
24 20/09/24 A320#4
25 20/09/24 A320#4
26 20/09/24 A320#4
#
