scenario,total_reward,steps
Scenario_264,-54.0,1
Scenario_50,0.0,1
Scenario_432,1110.0,3
Scenario_600,1028.0,10
Scenario_290,-352.0,5
Scenario_855,1990.0,4
Scenario_899,1346.0,2
Scenario_297,1295.0,8
Scenario_607,0.0,1
Scenario_435,-1061.0,8
Scenario_57,-168.0,6
Scenario_263,-2052.0,3
Scenario_852,1000.0,1
Scenario_68,94.0,10
Scenario_638,-127.0,8
Scenario_95,-1880.0,2
Scenario_61,1000.0,1
Scenario_255,995.0,2
Scenario_631,0.0,1
Scenario_403,789.0,7
Scenario_890,-2791.0,2
Scenario_864,21.0,6
Scenario_404,0.0,1
Scenario_636,904.0,4
Scenario_252,2000.0,2
Scenario_66,1058.0,5
Scenario_92,688.0,8
Scenario_863,0.0,1
Scenario_59,478.0,1
Scenario_609,-1410.0,6
Scenario_897,0.0,1
Scenario_299,-510.0,3
Scenario_239,0.0,1
Scenario_837,712.0,1
Scenario_662,1756.0,4
Scenario_450,-2521.0,15
Scenario_32,78.0,3
Scenario_808,-788.0,1
Scenario_206,995.0,2
Scenario_696,0.0,1
Scenario_468,-700.0,8
Scenario_830,0.0,1
Scenario_691,0.0,1
Scenario_35,838.0,1
Scenario_457,647.0,2
Scenario_665,-84.0,3
Scenario_698,1565.0,8
Scenario_806,-128.0,1
Scenario_208,-1459.0,8
Scenario_495,-2049.0,9
Scenario_461,101.0,2
Scenario_653,729.0,6
Scenario_237,1612.0,4
Scenario_03,122.0,12
Scenario_839,-1202.0,1
Scenario_459,-1207.0,5
Scenario_801,-1000.0,1
Scenario_04,-526.0,8
Scenario_230,-289.0,5
Scenario_654,58.0,1
Scenario_466,0.0,1
Scenario_492,1074.0,12
Scenario_93,-2694.0,3
Scenario_637,-888.0,3
Scenario_405,-1015.0,4
Scenario_67,2000.0,2
Scenario_253,-200.0,10
Scenario_298,1187.0,8
Scenario_896,-1193.0,12
Scenario_58,-1157.0,14
Scenario_862,684.0,6
Scenario_608,-3060.0,13
Scenario_254,2688.0,3
Scenario_60,943.0,10
Scenario_402,1355.0,8
Scenario_630,-248.0,1
Scenario_94,-3453.0,13
Scenario_865,0.0,1
Scenario_891,-6487.0,8
Scenario_434,-1350.0,9
Scenario_606,-2385.0,13
Scenario_262,-344.0,4
Scenario_56,471.0,3
Scenario_296,-268.0,8
Scenario_898,-1850.0,16
Scenario_69,-44.0,1
Scenario_853,-2504.0,11
Scenario_639,744.0,10
Scenario_291,0.0,1
Scenario_51,-1025.0,6
Scenario_265,-115.0,8
Scenario_601,604.0,1
Scenario_433,1708.0,7
Scenario_854,0.0,1
Scenario_458,568.0,1
Scenario_800,-1086.0,3
Scenario_493,0.0,1
Scenario_231,2430.0,3
Scenario_05,0.0,1
Scenario_467,582.0,3
Scenario_655,-1015.0,4
Scenario_209,6.0,3
Scenario_807,816.0,3
Scenario_699,1000.0,1
Scenario_652,361.0,7
Scenario_460,746.0,2
Scenario_838,29.0,11
Scenario_02,0.0,1
Scenario_236,-700.0,11
Scenario_494,-1015.0,4
Scenario_469,1423.0,7
Scenario_831,1957.0,4
Scenario_34,-797.0,10
Scenario_200,858.0,6
Scenario_664,-332.0,1
Scenario_456,-1268.0,11
Scenario_690,-2448.0,3
Scenario_836,1000.0,1
Scenario_238,-1417.0,5
Scenario_697,634.0,1
Scenario_451,1985.0,5
Scenario_663,498.0,12
Scenario_207,56.0,2
Scenario_809,298.0,1
Scenario_33,376.0,14
Scenario_375,0.0,1
Scenario_147,558.0,3
Scenario_523,-20.0,6
Scenario_711,0.0,1
Scenario_381,-455.0,9
Scenario_178,799.0,4
Scenario_944,-2423.0,10
Scenario_988,694.0,1
Scenario_386,0.0,1
Scenario_716,206.0,5
Scenario_524,-273.0,6
Scenario_140,-1050.0,12
Scenario_372,-279.0,3
Scenario_943,838.0,1
Scenario_729,382.0,1
Scenario_182,-1020.0,5
Scenario_176,166.0,1
Scenario_344,1000.0,1
Scenario_720,994.0,1
Scenario_512,0.0,1
Scenario_981,314.0,2
Scenario_149,-1058.0,1
Scenario_975,652.0,1
Scenario_515,-10.0,4
Scenario_727,-1030.0,7
Scenario_343,1880.0,2
Scenario_171,172.0,1
Scenario_185,-747.0,6
